fund_id,end_date,ret
HF00000008,200712,
HF00000008,200801,0.0063
HF00000008,200803,
HF00000008,200804,-0.127648
HF00000008,200805,0.046873
HF00000008,200806,-0.030739
HF00000008,200807,0.009574
HF00000008,200808,-0.099573
HF00000008,200809,-0.123354
HF00000008,200810,-0.116985
HF00000008,200811,-0.008503
HF00000008,200812,0.041681
HF00000008,200901,-0.005105
HF00000008,200902,0.036577
HF00000008,200903,-0.038001
HF00000008,200904,0.007967
HF00000008,200905,-0.000659
HF00000008,200906,-0.000494
HF00000008,200907,-0.000495
HF00000008,200908,0.017153
HF00000008,200909,0.001784
HF00000008,200910,-0.093396
HF00000008,200911,0.08802
HF00000008,200912,0.0553
HF00000008,201001,-0.031099
HF00000008,201002,-0.165142
HF00000008,201003,-0.000577
HF00000008,201004,0.059627
HF00000008,201005,-0.075694
HF00000008,201006,-0.000589
HF00000008,201007,-0.00059
HF00000008,201008,-0.00059
HF00000008,201009,0.011214
HF00000008,201010,0.151946
HF00000008,201011,0.409221
HF00000008,201012,-0.160834
HF00000008,201101,0.019709
HF00000008,201102,-0.067227
HF00000008,201103,0.096096
HF00000008,201104,0.040274
HF00000008,201105,-0.091125
HF00000008,201106,0.027528
HF00000008,201107,-0.014523
HF00000008,201108,-0.066104
HF00000008,201109,-0.051785
HF00000008,201110,-0.141703
HF00000008,201111,-0.039345
HF00000008,201112,-0.111503
HF00000008,201201,-0.052933
HF00000008,201202,0.181183
HF00000008,201203,0.135252
HF00000008,201204,0.033171
HF00000008,201205,0.128929
HF00000008,201206,-0.027397
HF00000008,201207,-0.082058
HF00000008,201208,-0.001001
HF00000008,201209,-0.103673
HF00000008,201210,-0.040045
HF00000008,201211,-0.116608
HF00000008,201212,-0.019108
HF00000008,201301,0.198612
HF00000008,201302,-0.014758
HF00000008,201303,-0.068639
HF00000008,201304,-0.134772
HF00000008,201305,0.005412
HF00000008,201307,
HF00000008,201308,0.079714
HF00000008,201309,0.0611
HF00000008,201310,-0.053263
HF00000008,201311,-0.096807
HF00000008,201312,0.040685
HF00000008,201401,-0.167431
HF00000008,201402,0.03886
HF00000008,201403,-0.073566
HF00000008,201404,0.054509
HF00000008,201405,-0.067964
HF00000008,201406,0.010613
HF00000008,201407,0.062331
HF00000008,201408,0.152423
HF00000008,201409,-0.032374
HF00000008,201410,-0.020017
HF00000008,201411,0.013423
HF00000008,201412,0.141186
HF00000008,201501,0.054497
HF00000008,201502,-0.065879
HF00000008,201503,0.050205
HF00000008,201504,0.176341
HF00000008,201505,0.075057
HF00000008,201506,0.191707
HF00000008,201507,-0.438582
HF00000008,201508,0.202652
HF00000008,201509,-0.112656
HF00000008,201510,-0.012696
HF00000008,201511,0.133242
HF00000008,201512,-0.137132
HF00000008,201601,-0.221321
HF00000008,201602,0.0
HF00000008,201603,0.075099
HF00000008,201604,0.085227
HF00000008,201605,0.017247
HF00000008,201606,0.236754
HF00000008,201607,0.076377
HF00000008,201608,-0.033659
HF00000008,201609,0.021888
HF00000008,201610,-0.075311
HF00000008,201611,0.10934
HF00000008,201612,0.0696
HF00000008,201701,-0.097187
HF00000008,201702,0.019995
HF00000008,201703,-0.027809
HF00000008,201704,-0.032591
HF00000008,201705,-0.12603
HF00000008,201706,-0.009429
HF00000008,201707,0.218365
HF00000008,201708,0.250919
HF00000008,201709,-0.042065
HF00000008,201710,-0.069607
HF00000008,201711,-0.096867
HF00000008,201712,-0.065039
HF00000008,201801,0.093727
HF00000008,201802,-0.169159
HF00000008,201803,0.082192
HF00000008,201804,-0.019856
HF00000008,201805,-0.06508
HF00000008,201806,-0.079902
HF00000008,201807,-0.097145
HF00000008,201808,-0.014672
HF00000008,201809,-0.117472
HF00000008,201810,0.064867
HF00000008,201811,-0.069718
HF00000008,201812,-0.012112
HF00000008,201901,-0.02567
HF00000008,201903,
HF00000008,201904,0.08124
HF00000008,201905,-0.146651
HF00000008,201906,0.129774
HF00000008,201907,-0.086385
HF00000008,201908,0.005481
HF00000008,201909,0.019761
HF00000008,201910,-0.078851
HF00000009,201012,
HF00000009,201102,
HF0000000A,200905,
HF0000000A,200906,0.0062
HF0000000A,200907,0.20801
HF0000000A,200908,-0.171781
HF0000000A,200909,-0.033674
HF0000000A,200910,-0.022718
HF0000000A,200911,0.07647
HF0000000A,200912,0.004495
HF0000000A,201001,-0.069455
HF0000000A,201002,0.032511
HF0000000A,201003,-0.019034
HF0000000A,201004,-0.01352
HF0000000A,201005,-0.109751
HF0000000A,201006,-0.030908
HF0000000A,201007,0.082585
HF0000000A,201008,0.019379
HF0000000A,201009,0.034066
HF0000000A,201010,0.117109
HF0000000A,201011,0.015126
HF0000000A,201012,-0.021085
HF0000000A,201101,0.00785
HF0000000A,201102,0.053476
HF0000000A,201103,-0.001893
HF0000000A,201104,-0.048509
HF0000000A,201105,-0.060002
HF0000000A,201106,0.039491
HF0000000A,201107,0.015255
HF0000000A,201108,-0.075031
HF0000000A,201109,-0.06746
HF0000000A,201110,0.025408
HF0000000A,201111,-0.05594
HF0000000A,201112,-0.097307
HF0000000A,201201,-0.001397
HF0000000A,201202,0.061284
HF0000000A,201203,-0.054271
HF0000000A,201204,0.035217
HF0000000A,201205,0.026921
HF0000000A,201206,-0.095091
HF0000000A,201207,-0.054122
HF0000000A,201208,0.007935
HF0000000A,201209,0.030801
HF0000000A,201210,-0.033097
HF0000000A,201211,-0.085366
HF0000000A,201212,0.068182
HF0000000A,201301,0.023972
HF0000000A,201302,0.026181
HF0000000A,201303,-0.052241
HF0000000A,201304,-0.045862
HF0000000A,201305,0.060158
HF0000000A,201306,-0.178682
HF0000000A,201307,0.073718
HF0000000A,201308,0.031774
HF0000000A,201309,0.050604
HF0000000A,201310,0.005745
HF0000000A,201311,0.028705
HF0000000A,201312,-0.035592
HF0000000A,201401,-0.023915
HF0000000A,201402,0.002269
HF0000000A,201403,-0.046175
HF0000000A,201404,-0.019459
HF0000000A,201405,0.007744
HF0000000A,201406,0.063881
HF0000000A,201407,0.04605
HF0000000A,201408,0.024457
HF0000000A,201409,0.102795
HF0000000A,201410,-0.016809
HF0000000A,201411,0.1018
HF0000000A,201412,-0.029035
HF0000000A,201501,0.152421
HF0000000A,201502,0.066288
HF0000000A,201503,0.158916
HF0000000A,201504,0.117147
HF0000000A,201505,0.279583
HF0000000A,201506,-0.016711
HF0000000A,201507,-0.084069
HF0000000A,201508,-0.143357
HF0000000A,201509,-0.002544
HF0000000A,201510,0.156801
HF0000000A,201511,0.030263
HF0000000A,201512,0.008948
HF0000000A,201601,-0.242545
HF0000000A,201602,-0.017054
HF0000000A,201603,0.251187
HF0000000A,201604,0.033943
HF0000000A,201605,-0.026289
HF0000000A,201606,0.114438
HF0000000A,201607,0.005411
HF0000000A,201608,0.051618
HF0000000A,201609,-0.013609
HF0000000A,201610,0.067862
HF0000000A,201611,-0.034231
HF0000000A,201612,-0.044992
HF0000000A,201701,-0.002814
HF0000000A,201702,0.034578
HF0000000A,201703,0.015144
HF0000000A,201704,-0.081052
HF0000000A,201705,-0.10655
HF0000000A,201706,0.048942
HF0000000A,201707,0.019314
HF0000000A,201708,0.019794
HF0000000A,201709,-0.00332
HF0000000A,201710,-0.034914
HF0000000A,201711,-0.043146
HF0000000A,201712,-0.0077
HF0000000A,201801,-0.056488
HF0000000A,201802,-0.074541
HF0000000A,201803,0.127142
HF0000000A,201804,-0.021665
HF0000000A,201805,-0.046468
HF0000000A,201806,-0.071195
HF0000000A,201807,0.013609
HF0000000A,201808,-0.061064
HF0000000A,201809,-0.066672
HF0000000A,201810,-0.114444
HF0000000A,201811,0.069515
HF0000000A,201812,-0.028552
HF0000000A,201901,-0.046143
HF0000000A,201902,0.11915
HF0000000A,201903,0.104022
HF0000000A,201904,-0.024087
HF0000000A,201905,-0.031048
HF0000000A,201906,0.007471
HF0000000A,201907,-0.047619
HF0000000A,201908,-0.038555
HF0000000A,201909,-0.001659
HF0000000B,201010,
HF0000000B,201011,0.157482
HF0000000B,201012,-0.015899
HF0000000B,201101,-0.062241
HF0000000B,201102,-0.017228
HF0000000B,201103,-0.079701
HF0000000B,201104,0.047361
HF0000000B,201105,-0.007752
HF0000000B,201106,0.036859
HF0000000B,201107,0.078439
HF0000000B,201108,-0.125314
HF0000000B,201109,-0.091961
HF0000000B,201110,0.046803
HF0000000B,201111,-0.06615
HF0000000B,201112,-0.125288
HF0000000B,201201,-0.041678
HF0000000B,201202,0.001101
HF0000000B,201203,0.00055
HF0000000B,201204,0.00055
HF0000000B,201205,0.000687
HF0000000B,201206,-0.002058
HF0000000B,201207,0.001513
HF0000000B,201208,0.000275
HF0000000B,201209,0.001373
HF0000000B,201210,0.000685
HF0000000B,201211,-0.000274
HF0000000B,201212,0.004522
HF0000000B,201301,0.015005
HF0000000B,201302,0.006451
HF0000000B,201303,0.002938
HF0000000B,201304,0.002396
HF0000000B,201305,0.004383
HF0000000B,201306,-0.004893
HF0000000B,201307,0.003721
HF0000000B,201308,-0.001192
HF0000000B,201309,0.006495
HF0000000B,201310,-0.008561
HF0000000B,201311,0.003587
HF0000000B,201312,0.003971
HF0000000B,201401,0.004483
HF0000000B,201402,-0.020213
HF0000000B,201403,-0.005626
HF0000000B,201404,0.002155
HF0000000B,201405,-0.002823
HF0000000B,201406,0.00674
HF0000000B,201407,0.003214
HF0000000B,201408,0.006941
HF0000000B,201409,0.015244
HF0000000B,201410,0.009792
HF0000000B,201411,0.002586
HF0000000B,201412,0.013412
HF0000000B,201501,0.004836
HF0000000B,201502,0.001773
HF0000000B,201503,0.01555
HF0000000B,201504,0.023901
HF0000000B,201505,0.110517
HF0000000B,201506,0.009196
HF0000000C,201008,
HF0000000C,201009,0.060012
HF0000000C,201010,0.026043
HF0000000C,201011,0.058488
HF0000000C,201012,-0.04344
HF0000000C,201101,-0.068211
HF0000000C,201102,0.119992
HF0000000C,201103,-0.054569
HF0000000C,201104,-0.082482
HF0000000C,201105,-0.093208
HF0000000C,201106,0.048794
HF0000000C,201107,0.07332
HF0000000C,201108,-0.047474
HF0000000C,201109,-0.09029
HF0000000C,201110,-0.004537
HF0000000C,201111,-0.044895
HF0000000C,201112,0.006323
HF0000000C,201201,-0.000119
HF0000000C,201202,0.055371
HF0000000C,201203,-0.063925
HF0000000C,201204,0.008401
HF0000000C,201205,0.030231
HF0000000C,201206,0.010051
HF0000000C,201207,-0.029967
HF0000000C,201208,-0.013442
HF0000000C,201209,-0.025816
HF0000000C,201210,-0.002208
HF0000000C,201211,-0.011927
HF0000000C,201212,0.015804
HF0000000C,201301,-0.002573
HF0000000C,201302,0.030214
HF0000000C,201303,-0.01371
HF0000000C,201304,-0.005077
HF0000000C,201305,0.12866
HF0000000C,201306,-0.135199
HF0000000C,201307,0.096838
HF0000000C,201308,-0.001135
HF0000000C,201309,0.116792
HF0000000C,201310,-0.190031
HF0000000C,201311,0.058402
HF0000000C,201312,-0.040821
HF0000000C,201401,0.058889
HF0000000C,201402,-0.017993
HF0000000C,201403,-0.048662
HF0000000C,201404,-0.041021
HF0000000C,201405,-0.040949
HF0000000C,201406,-0.008023
HF0000000C,201407,0.10377
HF0000000C,201408,0.039369
HF0000000C,201409,0.289879
HF0000000C,201410,-0.000371
HF0000000C,201411,0.144194
HF0000000C,201412,0.182069
HF0000000C,201501,0.019048
HF0000000C,201502,0.128152
HF0000000C,201503,0.262292
HF0000000C,201504,0.121246
HF0000000C,201505,0.200985
HF0000000C,201506,-0.192875
HF0000000C,201507,-0.043354
HF0000000C,201508,-0.19308
HF0000000C,201509,-0.03821
HF0000000C,201510,-0.031654
HF0000000C,201511,-0.062719
HF0000000C,201512,0.031266
HF0000000C,201601,-0.210852
HF0000000C,201602,-0.001505
HF0000000C,201603,0.014756
HF0000000C,201604,-0.004847
HF0000000C,201605,0.049179
HF0000000C,201606,0.053538
HF0000000C,201607,-0.026368
HF0000000C,201608,0.013432
HF0000000C,201609,-0.016999
HF0000000C,201610,0.000659
HF0000000C,201611,0.010618
HF0000000C,201612,-0.067242
HF0000000C,201701,-0.075352
HF0000000C,201702,0.034361
HF0000000C,201703,-0.014539
HF0000000C,201704,-0.015989
HF0000000C,201705,-0.084178
HF0000000C,201706,0.035486
HF0000000C,201707,-0.008391
HF0000000C,201708,0.060835
HF0000000C,201709,0.002267
HF0000000C,201710,0.003854
HF0000000C,201711,-0.006426
HF0000000C,201712,-0.025617
HF0000000C,201801,-0.015516
HF0000000C,201802,-0.137466
HF0000000C,201803,-0.041925
HF0000000C,201804,-0.034647
HF0000000C,201805,-0.043025
HF0000000C,201806,-0.088657
HF0000000C,201807,0.01636
HF0000000C,201808,-0.078133
HF0000000C,201809,-0.041101
HF0000000C,201810,-0.11094
HF0000000C,201811,0.018276
HF0000000C,201812,-0.060653
HF0000000C,201901,-0.012519
HF0000000C,201902,0.226522
HF0000000C,201903,0.065415
HF0000000C,201904,-0.096885
HF0000000C,201905,-0.089329
HF0000000C,201906,0.038181
HF0000000C,201907,-0.007624
HF0000000C,201908,0.026665
HF0000000C,201909,0.068085
HF0000000C,201910,0.019646
HF0000000D,200903,
HF0000000D,200904,0.0164
HF0000000D,200905,0.07802
HF0000000D,200906,0.18098
HF0000000D,200907,0.09034
HF0000000D,200908,-0.074066
HF0000000D,200909,-0.030848
HF0000000D,200910,0.182845
HF0000000D,200911,0.102831
HF0000000D,200912,0.085251
HF0000000D,201001,-0.08815
HF0000000D,201002,0.054699
HF0000000D,201003,0.160517
HF0000000D,201004,-0.056636
HF0000000D,201005,-0.021089
HF0000000D,201006,-0.14561
HF0000000D,201007,-0.002154
HF0000000G,200511,
HF0000000G,200512,0.0485
HF0000000G,200601,0.125306
HF0000000G,200602,0.024018
HF0000000G,200603,0.082948
HF0000000G,200604,0.20463
HF0000000G,200605,0.11932
HF0000000G,200606,0.031116
HF0000000G,200607,-0.170324
HF0000000G,200608,-0.01965
HF0000000G,200609,0.040667
HF0000000G,200610,0.023891
HF0000000G,200611,0.105183
HF0000000G,200612,0.081915
HF0000000G,200701,0.137433
HF0000000G,200702,0.00319
HF0000000G,200703,0.113293
HF0000000G,200704,0.130972
HF0000000G,200705,0.090484
HF0000000G,200706,-0.032137
HF0000000G,200707,0.093629
HF0000000G,200708,0.075875
HF0000000G,200709,0.019474
HF0000000G,200710,-0.030225
HF0000000G,200711,-0.117568
HF0000000G,200712,0.104965
HF0000000G,200801,-0.079329
HF0000000G,200802,0.040733
HF0000000G,200803,-0.150721
HF0000000G,200804,-0.080503
HF0000000G,200805,-0.14183
HF0000000G,200806,-0.213159
HF0000000G,200807,0.101159
HF0000000G,200808,-0.119075
HF0000000G,200809,-0.089325
HF0000000G,200810,-0.079887
HF0000000G,200811,0.208579
HF0000000G,200812,0.055367
HF0000000G,200901,0.025576
HF0000000G,200902,0.082278
HF0000000G,200903,0.070489
HF0000000G,200904,0.080593
HF0000000G,200905,0.001725
HF0000000G,200906,0.114382
HF0000000G,200907,0.178516
HF0000000G,200908,-0.147243
HF0000000G,200909,0.024257
HF0000000G,200910,0.064564
HF0000000G,200911,0.022695
HF0000000G,200912,-0.009717
HF0000000G,201001,0.002849
HF0000000G,201002,0.049362
HF0000000G,201003,0.098773
HF0000000G,201004,-0.002847
HF0000000G,201005,-0.012792
HF0000000G,201006,-0.08281
HF0000000G,201007,0.038988
HF0000000G,201008,0.046688
HF0000000G,201009,0.016225
HF0000000G,201010,0.056677
HF0000000G,201011,-0.055195
HF0000000G,201012,0.041877
HF0000000G,201101,-0.073003
HF0000000G,201102,0.039035
HF0000000G,201103,-0.034721
HF0000000G,201104,-0.007376
HF0000000G,201105,-0.050183
HF0000000G,201106,0.070947
HF0000000G,201107,0.106703
HF0000000G,201108,0.043765
HF0000000G,201109,-0.123602
HF0000000G,201110,0.059666
HF0000000G,201111,-0.073434
HF0000000G,201112,-0.114641
HF0000000G,201201,-0.148448
HF0000000G,201202,0.126565
HF0000000G,201203,0.012712
HF0000000G,201204,-0.008938
HF0000000G,201205,0.016512
HF0000000G,201206,0.00561
HF0000000G,201207,0.031074
HF0000000G,201208,0.056751
HF0000000G,201209,0.05418
HF0000000G,201210,-0.072235
HF0000000G,201211,-0.120411
HF0000000G,201212,0.194062
HF0000000G,201301,0.069959
HF0000000G,201302,0.013109
HF0000000G,201303,-0.055983
HF0000000G,201304,0.001926
HF0000000G,201305,0.076545
HF0000000G,201306,-0.049992
HF0000000G,201307,0.065778
HF0000000G,201308,0.043877
HF0000000G,201309,-0.038257
HF0000000G,201310,0.012864
HF0000000G,201311,-0.020708
HF0000000G,201312,-0.009843
HF0000000G,201401,-0.018936
HF0000000G,201402,-0.027291
HF0000000G,201403,-0.036214
HF0000000G,201404,-0.001602
HF0000000G,201405,-0.015123
HF0000000G,201406,0.036934
HF0000000G,201407,0.06961
HF0000000G,201408,0.029786
HF0000000G,201409,0.062891
HF0000000G,201410,0.03119
HF0000000G,201411,0.120952
HF0000000G,201412,0.118181
HF0000000G,201501,0.008872
HF0000000G,201502,0.060566
HF0000000G,201503,0.08965
HF0000000G,201504,0.152205
HF0000000G,201505,0.115348
HF0000000G,201506,-0.114082
HF0000000G,201507,-0.122157
HF0000000G,201508,-0.032604
HF0000000G,201509,0.016933
HF0000000G,201510,0.124109
HF0000000G,201511,0.032701
HF0000000G,201512,0.07442
HF0000000G,201601,-0.213768
HF0000000G,201602,-0.03065
HF0000000G,201603,0.093626
HF0000000G,201604,0.027275
HF0000000G,201605,0.018431
HF0000000G,201606,0.053412
HF0000000G,201607,0.063658
HF0000000G,201608,0.009429
HF0000000G,201609,-0.02759
HF0000000G,201610,0.039981
HF0000000G,201611,0.0582
HF0000000G,201612,-0.041865
HF0000000G,201701,0.031168
HF0000000G,201702,0.027854
HF0000000G,201703,0.058934
HF0000000G,201704,0.006651
HF0000000G,201705,0.029491
HF0000000G,201706,0.047429
HF0000000G,201707,-0.013294
HF0000000G,201708,0.032454
HF0000000G,201709,0.032759
HF0000000G,201710,0.083314
HF0000000G,201711,-0.022173
HF0000000G,201712,0.005063
HF0000000G,201801,0.094295
HF0000000G,201802,-0.060129
HF0000000G,201803,-0.018691
HF0000000G,201804,-0.017669
HF0000000G,201805,0.077309
HF0000000G,201806,-0.158685
HF0000000G,201807,-0.032089
HF0000000G,201808,-0.081764
HF0000000G,201809,0.034751
HF0000000G,201810,-0.089869
HF0000000G,201811,-0.00489
HF0000000G,201812,-0.044927
HF0000000G,201901,0.023391
HF0000000G,201902,0.133376
HF0000000G,201903,0.098334
HF0000000G,201904,0.005023
HF0000000G,201905,-0.060987
HF0000000G,201906,0.041824
HF0000000G,201907,0.004556
HF0000000G,201908,0.035324
HF0000000G,201909,-0.004978
